s,p,o
country:HKG,Diabetes prevalence (% of population ages 20 to 79),7.8
country:HRV,Diabetes prevalence (% of population ages 20 to 79),4.8
country:HUN,Diabetes prevalence (% of population ages 20 to 79),7.0
country:HTI,Diabetes prevalence (% of population ages 20 to 79),8.9
country:AGO,Gross national expenditure (current US$),55989900000.0
country:ALB,Gross national expenditure (current US$),20161400000.0
country:AGO,Industry (including construction) value added (% of GDP),43.3851
country:ALB,Industry (including construction) value added (% of GDP),21.8186
country:AND,GDP (current US$),3329910000.0
country:AGO,GDP (current US$),72547000000.0
country:ALB,GDP (current US$),18260000000.0
country:AGO,GDP per capita (current LCU),1449600.0
country:AND,GDP per capita (current LCU),36396.6
country:ALB,GDP per capita (current LCU),672299.0
country:AGO,GNI per capita (current LCU),1335440.0
country:ALB,GNI per capita (current LCU),663109.0
country:ARM,Gross national expenditure (current US$),14962900000.0
country:ARG,Gross national expenditure (current US$),459331000000.0
country:ARM,Industry (including construction) value added (% of GDP),26.9307
country:ARG,Industry (including construction) value added (% of GDP),24.863
country:ARM,GDP (current US$),13861200000.0
country:ARG,GDP (current US$),491493000000.0
country:ARG,GDP per capita (current LCU),1019180.0
country:ARM,GDP per capita (current LCU),2352610.0
country:ARG,GNI per capita (current LCU),998555.0
country:AUT,Gross national expenditure (current US$),471974000000.0
country:AUS,Gross national expenditure (current US$),1477230000000.0
country:AUT,Industry (including construction) value added (% of GDP),25.7182
country:ATG,Industry (including construction) value added (% of GDP),21.889
country:AUS,Industry (including construction) value added (% of GDP),25.4956
country:AUT,GDP (current US$),477082000000.0
country:ATG,GDP (current US$),1471130000.0
country:AUS,GDP (current US$),1542660000000.0
country:ATG,GDP per capita (current LCU),40232.2
country:AUS,GDP per capita (current LCU),80305.7
country:ATG,GNI per capita (current LCU),39780.2
country:ARM,GNI per capita (current LCU),2286090.0
country:AUS,GNI per capita (current LCU),79554.5
country:BDI,Gross national expenditure (current US$),3448140000.0
country:AZE,Gross national expenditure (current US$),45471500000.0
country:BEL,Gross national expenditure (current US$),591865000000.0
country:BEL,Industry (including construction) value added (% of GDP),20.8513
country:AZE,Industry (including construction) value added (% of GDP),48.4273
country:BDI,Industry (including construction) value added (% of GDP),10.5994
country:BDI,GDP (current US$),2902030000.0
country:AZE,GDP (current US$),54622200000.0
country:BEL,GDP (current US$),599879000000.0
country:BEL,GDP per capita (current LCU),43769.4
country:AZE,GDP per capita (current LCU),9152.86
country:AUT,GDP per capita (current LCU),45037.7
